season,date,level,competition,city,country,continent,altitude,segment,jump,rotation,fall,bonus,combination,jump_number,jump_bv,goe,point_value
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,,FP,3Lz+1Eu+3S,,,1,1,3,11.77,2.02,13.79
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,,FP,3F,,,1,,1,5.83,1.74,7.57
2018-2019,2018-10-11,Junior,JGP,Yerevan,Armenia,Europe,,SP,2A,,,,,1,3.30,1.32,4.62
2018-2019,2018-10-11,Junior,JGP,Yerevan,Armenia,Europe,,SP,3F,,,,,1,5.30,2.12,7.42
2018-2019,2018-10-11,Junior,JGP,Yerevan,Armenia,Europe,,SP,3Lz+3Lo,,,1,1,2,11.88,2.61,14.49
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,4Lz,,,,,1,11.50,0.00,11.50
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,2A,,,,,1,3.30,1.18,4.48
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,3F+3T,,,,1,2,9.50,1.89,11.39
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,2A,,,,,1,3.30,0.99,4.29
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,3Lz+3Lo,,,1,1,2,11.88,2.19,14.07
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,3Lz+1Eu+3S,,,1,1,3,11.77,1.94,13.71
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,,FP,3F,,,1,,1,5.83,1.44,7.27
2018-2019,2018-12-06,Junior,JGPF,Vancouver,Canada,North America,,SP,2A,,,,,1,3.30,1.32,4.62
2018-2019,2018-12-06,Junior,JGPF,Vancouver,Canada,North America,,SP,3F,,,,,1,5.30,1.97,7.27
2018-2019,2018-12-06,Junior,JGPF,Vancouver,Canada,North America,,SP,3Lz+3Lo,,,1,1,2,11.88,1.94,13.82
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,4Lz,,,,,1,11.50,-3.45,8.05
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,4Lz,u,1,,,1,6.04,-4.32,1.72
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,4T,,,,,1,9.50,0.54,10.04
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,2A+3T,,,,1,2,7.50,0.90,8.40
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,3Lz+3Lo,,,1,1,2,11.88,0.51,12.39
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,3Lz+1Eu+3S,,,1,1,3,11.77,1.52,13.29
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,,FP,3F,,,1,,1,5.83,1.67,7.50
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,SP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,SP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,SP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2018-2019,,Junior,JWC,Zagreb,Croatia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,CS,Bratislava,Slovakia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Kelowna,Canada,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,GPF,Torino,Italy,Europe,,FP,,,,,,,,,0.00
