season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2016-2017,2017-02-04,Junior,NC,Saint Petersburg,Russia,Europe,8,632,FP,6,3S,,,,1,,1,4.84,1.90,0.80,5.64
2016-2017,2017-02-04,Junior,NC,Saint Petersburg,Russia,Europe,8,632,FP,7,2A,,,,1,,1,3.63,1.67,0.50,4.13
2017-2018,2017-08-24,Junior,JGP,Brisbane,Australia,Oceania,7,14073,SP,1,3F+3Lo,,,,1,1,2,11.44,1.90,0.80,12.24
2017-2018,2017-08-24,Junior,JGP,Brisbane,Australia,Oceania,7,14073,SP,2,3Lz,,,,1,,1,6.60,2.86,1.20,7.80
2017-2018,2017-08-24,Junior,JGP,Brisbane,Australia,Oceania,7,14073,SP,3,2A,,,,1,,1,3.63,2.62,0.79,4.42
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,1,4S,,u,,,,1,8.10,-1.90,-1.37,6.73
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,2,3Lz+3Lo,,,,1,1,2,12.21,1.90,0.80,13.01
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,3,3F+2T+2T,,,,1,1,3,8.69,2.14,0.90,9.59
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,4,3Lz+3T,,,,1,1,2,11.33,3.10,1.30,12.63
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,5,3F,,,,1,,1,5.83,2.38,1.00,6.83
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,6,3S,,,,1,,1,4.84,1.67,0.70,5.54
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,7,14073,FP,7,2A,,,,1,,1,3.63,2.86,0.86,4.49
2017-2018,2017-09-21,Junior,JGP,Minsk,Belarus,Europe,280,676,SP,1,3F+3Lo,,,,1,1,2,11.44,3.10,1.30,12.74
2017-2018,2017-09-21,Junior,JGP,Minsk,Belarus,Europe,280,676,SP,2,3Lz,,,,1,,1,6.60,3.33,1.40,8.00
2017-2018,2017-09-21,Junior,JGP,Minsk,Belarus,Europe,280,676,SP,3,2A,,,,1,,1,3.63,2.86,0.86,4.49
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,1,4S,,d,1,,,1,4.40,-5.00,-2.10,2.30
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,2,3Lz+3Lo,,,,1,1,2,12.21,1.90,0.80,13.01
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,3,3F+2T+2T,,,,1,1,3,8.69,1.19,0.50,9.19
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,4,3Lz+3T,,,,1,1,2,11.33,2.86,1.20,12.53
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,5,3F,,,,1,,1,5.83,2.86,1.20,7.03
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,6,3S,,,,1,,1,4.84,2.14,0.90,5.74
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,280,676,FP,7,2A,,,,1,,1,3.63,2.86,0.86,4.49
2017-2018,2017-12-07,Junior,JGPF,Nagoya,Japan,Asia,8,7371,SP,1,3F+3Lo,,,,1,1,2,11.44,3.57,1.50,12.94
2017-2018,2017-12-07,Junior,JGPF,Nagoya,Japan,Asia,8,7371,SP,2,3Lz,,,,1,,1,6.60,3.81,1.60,8.20
2017-2018,2017-12-07,Junior,JGPF,Nagoya,Japan,Asia,8,7371,SP,3,2A,,,,1,,1,3.63,3.33,1.00,4.63
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,1,4S,,u,1,,,1,8.10,-5.00,-4.00,4.10
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,2,3Lz+3Lo,,,,1,1,2,12.21,-0.95,-0.40,11.81
