season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,7,3Lz,,,,1,,1,6.49,2.86,1.69,8.18
2019-2020,2019-11-15,Senior,GP,Moscow,Russia,Europe,156,0,SP,1,2A,,,,,,1,3.30,3.71,1.23,4.53
2019-2020,2019-11-15,Senior,GP,Moscow,Russia,Europe,156,0,SP,2,3F,,,,,,1,5.30,3.57,1.89,7.19
2019-2020,2019-11-15,Senior,GP,Moscow,Russia,Europe,156,0,SP,3,3Lz+3T,,,,1,1,2,11.11,1.14,0.67,11.78
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,1,4S,,u,1,,,1,7.76,-5.00,-3.88,3.88
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,2,4Lz,,,,,,1,11.50,3.00,3.45,14.95
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,3,4T+3T,,,,,1,2,13.70,1.71,1.63,15.33
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,4,2A,,,,,,1,3.30,2.71,0.90,4.20
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,5,4T+1Eu+3S,,,,1,1,3,15.73,2.57,2.44,18.17
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,6,3Lz+3Lo,,,1,1,1,2,11.88,-5.00,-2.95,8.93
2019-2020,2019-11-16,Senior,GP,Moscow,Russia,Europe,156,0,FP,7,3Lz,,,,1,,1,6.49,2.00,1.18,7.67
2019-2020,2019-12-06,Senior,GPF,Torino,Italy,Europe,239,2402,SP,1,3A,,u,1,,,1,6.40,-5.00,-3.20,3.20
2019-2020,2019-12-06,Senior,GPF,Torino,Italy,Europe,239,2402,SP,2,3F,,,,,,1,5.30,3.43,1.82,7.12
2019-2020,2019-12-06,Senior,GPF,Torino,Italy,Europe,239,2402,SP,3,3Lz+3T,,,,1,1,2,11.11,2.71,1.60,12.71
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,1,4F,,,,,,1,11.00,3.00,3.30,14.30
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,2,2S,,,,,,1,1.30,-0.57,-0.07,1.23
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,3,4Lz,,,,,,1,11.50,3.29,3.78,15.28
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,4,2A+3T,,,,,1,2,7.50,2.86,1.20,8.70
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,5,4T+1Eu+3S,,,,1,1,3,15.73,2.86,2.71,18.44
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,6,4T,,u,1,1,,1,8.36,-5.00,-3.80,4.56
2019-2020,2019-12-07,Senior,GPF,Torino,Italy,Europe,239,2402,FP,7,3Lz+3T,,,,1,1,2,11.11,2.86,1.69,12.80
2019-2020,2019-12-27,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,SP,1,2A,,,,,,1,3.30,3.71,1.23,4.53
2019-2020,2019-12-27,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,SP,2,3F,,,,,,1,5.30,3.71,1.97,7.27
2019-2020,2019-12-27,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,SP,3,3Lz+3T,,,,1,1,2,11.11,3.29,1.94,13.05
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,1,4F,,u,1,,,1,8.80,-5.00,-4.40,4.40
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,2,4Lz,,u,1,,,1,9.20,-5.00,-4.60,4.60
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,3,2T,,,,,,1,1.30,1.29,0.17,1.47
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,4,2A+3T,,,,,1,2,7.50,3.00,1.26,8.76
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,5,4T+1Eu+3S,,,,1,1,3,15.73,3.71,3.53,19.26
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,6,3Lz+3Lo,,,,1,1,2,11.88,3.14,1.85,13.73
2019-2020,2019-12-28,Senior,NC,Krasnoyarsk,Russia,Europe,287,3353,FP,7,3Lz,,,,1,,1,6.49,3.14,1.85,8.34
2019-2020,2020-01-24,Senior,EU,Graz,Austria,Europe,347,1804,SP,1,2A,,,,,,1,3.30,-0.57,-0.24,3.06
2019-2020,2020-01-24,Senior,EU,Graz,Austria,Europe,347,1804,SP,2,3F,,,,,,1,5.30,3.00,1.59,6.89
2019-2020,2020-01-24,Senior,EU,Graz,Austria,Europe,347,1804,SP,3,3Lz+3T,,,,1,1,2,11.11,3.29,1.94,13.05
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,1,4Lz,,,1,,,1,11.50,-5.00,-5.75,5.75
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,2,4T+3T,,,,,1,2,13.70,3.43,3.26,16.96
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,3,3F,,,,,,1,5.30,3.00,1.59,6.89
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,4,2A,,,,,,1,3.30,2.43,0.80,4.10
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,5,4T,,d,1,1,,1,4.62,-5.00,-2.10,2.52
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,6,3Lz+3Lo,,,,1,1,2,11.88,2.43,1.43,13.31
2019-2020,2020-01-25,Senior,EU,Graz,Austria,Europe,347,1804,FP,7,3Lz+1Eu+3S,,,,1,1,3,11.77,2.57,1.52,13.29
2020-2021,2020-11-20,Senior,GP,Moscow,Russia,Europe,156,0,SP,1,3A,,d,1,,,1,3.30,-5.00,-1.65,1.65
2020-2021,2020-11-20,Senior,GP,Moscow,Russia,Europe,156,0,SP,2,3F,!,,,,,1,5.30,0.80,0.42,5.72
2020-2021,2020-11-20,Senior,GP,Moscow,Russia,Europe,156,0,SP,3,3Lz+3T,,,,1,1,2,11.11,3.00,1.77,12.88
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,1,4S,,,1,,,1,9.70,-4.60,-4.46,5.24
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,2,4Lz,,u,1,,,1,9.20,-5.00,-4.60,4.60
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,3,4T,,u,1,,,1,7.60,-5.00,-3.80,3.80
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,4,2A+3T,,,,,1,2,7.50,1.40,0.59,8.09
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,5,4T+1Eu+3S,,q,,1,1,3,15.73,-2.60,-2.47,13.26
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,6,3F+3T,,q,,1,1,2,10.45,-1.00,-0.53,9.92
2020-2021,2020-11-21,Senior,GP,Moscow,Russia,Europe,156,0,FP,7,3Lz,,,1,1,,1,6.49,-5.00,-2.95,3.54
2020-2021,2020-12-25,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,SP,1,2A,,,,,,1,3.30,3.00,0.99,4.29
2020-2021,2020-12-25,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,SP,2,3F,!,,,,,1,5.30,1.00,0.53,5.83
2020-2021,2020-12-25,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,SP,3,3Lz+3T,,,,1,1,2,11.11,3.57,2.11,13.22
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,1,4Lz+3T,,,,,1,2,15.70,3.14,3.61,19.31
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,2,4Lz,,,,,,1,11.50,2.29,2.63,14.13
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,3,2A,,,,,,1,3.30,2.57,0.85,4.15
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,4,2A,,,,,,1,3.30,2.86,0.94,4.24
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,5,3Lz+3Lo,,,,1,1,2,11.88,3.71,2.19,14.07
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,6,3F+1Eu+3S,!,,,1,1,3,11.11,1.29,0.68,11.79
2020-2021,2020-12-26,Senior,NC,Chelyabinsk,Russia,Europe,220,1494,FP,7,3Lz,,,,1,,1,6.49,3.00,1.77,8.26
2020-2021,2021-03-24,Senior,WC,Stockholm,Sweden,Europe,28,1228,SP,1,2A,,,,,,1,3.30,3.29,1.08,4.38
2020-2021,2021-03-24,Senior,WC,Stockholm,Sweden,Europe,28,1228,SP,2,3F,!,,,,,1,5.30,0.71,0.38,5.68
2020-2021,2021-03-24,Senior,WC,Stockholm,Sweden,Europe,28,1228,SP,3,3Lz+COMBO,,,,1,1,2,6.49,-5.00,-2.95,3.54
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,1,4F,!,,,,,1,11.00,1.43,1.57,12.57
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,2,4S,,,1,,,1,9.70,-4.86,-4.71,4.99
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,3,4Lz+3T,,,,,1,2,15.70,3.29,3.78,19.48
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,4,2A,,,,,,1,3.30,2.14,0.71,4.01
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,5,4Lz,,u,1,1,,1,10.12,-5.00,-4.60,5.52
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,6,4T+1Eu+3S,,d,,1,1,3,9.90,-4.57,-1.97,7.93
2020-2021,2021-03-26,Senior,WC,Stockholm,Sweden,Europe,28,1228,FP,7,3Lz+3T,,,,1,1,2,11.11,2.71,1.52,12.63
2021-2022,2021-09-17,Senior,CS,Boston,United States,North America,6,7222,SP,1,3A,,,1,,,1,8.00,-5.00,-4.00,4.00
2021-2022,2021-09-17,Senior,CS,Boston,United States,North America,6,7222,SP,2,3F,,,,,,1,5.30,3.33,1.77,7.07
2021-2022,2021-09-17,Senior,CS,Boston,United States,North America,6,7222,SP,3,3Lz+3T,,,,1,1,2,11.11,3.33,1.97,13.08
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,1,4F,,,1,,,1,11.00,-5.00,-5.50,5.50
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,2,4S,,,,,,1,9.70,2.67,2.59,12.29
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,3,2A+3T,,,,,1,2,7.50,2.67,1.12,8.62
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,4,2T,,,,,,1,1.30,0.33,-0.04,1.26
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,5,4Lz,,u,,1,,1,10.12,-4.67,-4.29,5.83
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,6,4Lz+1Eu+3S,,u,,1,1,3,16.98,-4.30,-4.98,12.00
2021-2022,2021-09-18,Senior,CS,Boston,United States,North America,6,7222,FP,7,3Lz+3T,,,,1,1,2,11.11,1.67,0.98,12.09
2021-2022,2021-10-23,Senior,GP,Las Vegas,United States,North America,620,9474,SP,1,2A,,,,,,1,3.30,3.14,1.04,4.34
2021-2022,2021-10-23,Senior,GP,Las Vegas,United States,North America,620,9474,SP,2,3F,,,,,,1,5.30,3.43,1.82,7.12
2021-2022,2021-10-23,Senior,GP,Las Vegas,United States,North America,620,9474,SP,3,3Lz+3T,,,,1,1,2,11.11,3.57,2.11,13.22
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,1,4Lz,,,,,,1,11.50,2.00,2.30,13.80
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,2,3Lo,,,,,,1,4.90,3.00,1.47,6.37
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,3,2A+3T,,,,,1,2,7.50,2.43,1.02,8.52
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,4,2A,,,,,,1,3.30,3.00,0.99,4.29
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,5,3Lz+3T,,,,1,1,2,11.11,2.71,1.60,12.71
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,6,3F+1Eu+3S,!,,,1,1,3,11.11,0.71,0.45,11.56
2021-2022,2021-10-24,Senior,GP,Las Vegas,United States,North America,620,9474,FP,7,3Lz,,,,1,,1,6.49,2.71,1.60,8.09
2021-2022,2021-12-24,Senior,NC,Saint Petersburg,Russia,Europe,8,632,SP,1,3A,,q,1,,,1,8.00,-5.00,-4.00,4.00
2021-2022,2021-12-24,Senior,NC,Saint Petersburg,Russia,Europe,8,632,SP,2,3F,!,,,,,1,5.30,1.00,0.53,5.83
2021-2022,2021-12-24,Senior,NC,Saint Petersburg,Russia,Europe,8,632,SP,3,3Lz+3T,,,,1,1,2,11.11,3.57,2.11,13.22
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,1,4F,!,,,,,1,11.00,1.29,1.41,12.41
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,2,4T,,,1,,,1,9.50,-5.00,-4.75,4.75
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,3,2A,,,,,,1,3.30,3.14,1.04,4.34
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,4,4Lz+1Eu+3S,,,,,1,3,16.30,2.71,3.12,19.42
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,5,4Lz+3T,,,,1,1,2,17.27,3.29,3.78,21.05
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,6,3Lz+3T,,q,,1,1,2,11.11,-0.86,-0.51,10.60
2021-2022,2021-12-25,Senior,NC,Saint Petersburg,Russia,Europe,8,632,FP,7,3F,!,,,1,,1,5.83,1.29,0.68,6.51
2021-2022,2022-01-13,Senior,EU,Tallinn,Estonia,Europe,9,866,SP,1,3A,,,1,,,1,8.00,-5.00,-4.00,4.00
2021-2022,2022-01-13,Senior,EU,Tallinn,Estonia,Europe,9,866,SP,2,3F,,,,,,1,5.30,3.00,1.59,6.89
2021-2022,2022-01-13,Senior,EU,Tallinn,Estonia,Europe,9,866,SP,3,3Lz+3T,,,,1,1,2,11.11,3.14,1.85,12.96
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,1,4F,,,,,,1,11.00,4.29,4.71,15.71
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,2,4S,,,,,,1,9.70,4.00,3.88,13.58
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,3,2A+3T,,,,,1,2,7.50,3.29,1.38,8.88
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,4,4T,,q,1,,,1,9.50,-5.00,-4.75,4.75
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,5,4Lz,,d,1,1,,1,6.49,-5.00,-2.95,3.54
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,-2.00,-1.18,10.59
2021-2022,2022-01-15,Senior,EU,Tallinn,Estonia,Europe,9,866,FP,7,3Lz+3T,,,,1,1,2,11.11,2.57,1.52,12.63
2021-2022,2022-02-15,Senior,OLY,Beijing,China,Asia,56,5793,SP,1,3A,,u,1,,,1,6.40,-5.00,-3.20,3.20
2021-2022,2022-02-15,Senior,OLY,Beijing,China,Asia,56,5793,SP,2,3F,!,,,,,1,5.30,1.57,0.83,6.13
2021-2022,2022-02-15,Senior,OLY,Beijing,China,Asia,56,5793,SP,3,3Lz+3T,,,,1,1,2,11.11,3.00,1.77,11.94
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,1,4F,!,,,,,1,11.00,2.00,2.20,13.20
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,2,4S,,,,,,1,9.70,3.29,3.19,12.89
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,3,4T,,,,,,1,9.50,-2.57,-2.44,7.06
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,4,2A+3T,,,,,1,2,7.50,-1.14,-0.54,6.96
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,5,4Lz+3T,,,,1,1,2,17.27,2.29,2.63,19.90
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,6,4Lz,,q,,1,,1,12.65,-0.86,-0.99,11.66
2021-2022,2022-02-17,Senior,OLY,Beijing,China,Asia,56,5793,FP,7,3Lz+1Eu+3S,,,,1,1,3,11.77,2.43,1.43,13.20
